job_type,salary,SQL,Programming,Seniority,City
Other,6to10,0,0,Mid Level,Delhi
Other,10to15,0,0,Senior Level,Other
Other,15to25,0,0,Mid Level,Delhi
Other,10to15,1,1,Mid Level,Bengaluru
Analytics,3to6,0,0,Entry Level,Gurgaon
Other,6to10,0,0,Mid Level,Noida
Analytics,25to50,0,0,Senior Level,Delhi
Other,6to10,0,0,Mid Level,Pune
Other,0to3,0,0,Entry Level,Other
Other,15to25,0,0,Entry Level,Bengaluru
Analytics,6to10,0,0,Entry Level,Other
Other,10to15,0,0,Senior Level,Multiple Locations
Analytics,10to15,0,0,Entry Level,Pune
Analytics,6to10,1,0,Entry Level,Mumbai
Other,10to15,0,0,Entry Level,Gurgaon
Other,10to15,1,1,Entry Level,Multiple Locations
Other,6to10,1,0,Mid Level,Bengaluru
Other,10to15,0,0,Entry Level,Bengaluru
Analytics,15to25,0,0,Senior Level,Bengaluru
Other,6to10,0,0,Entry Level,Bengaluru
Analytics,6to10,0,0,Entry Level,Gurgaon
Other,25to50,0,0,Senior Level,Chennai
Analytics,10to15,0,0,Senior Level,Bengaluru
Analytics,0to3,0,0,Entry Level,Pune
Other,0to3,0,0,Entry Level,Other
Other,25to50,0,0,Senior Level,Mumbai
Other,3to6,0,0,Entry Level,Other
Analytics,0to3,0,0,Entry Level,Gurgaon
Other,3to6,0,1,Entry Level,Bengaluru
Other,15to25,0,0,Entry Level,Multiple Locations
Analytics,10to15,0,0,Mid Level,Bengaluru
Other,15to25,1,1,Senior Level,Pune
Other,3to6,0,0,Entry Level,Bengaluru
Other,10to15,0,0,Entry Level,Mumbai
Other,10to15,0,0,Mid Level,Multiple Locations
Other,6to10,0,0,Entry Level,Multiple Locations
Other,6to10,0,0,Mid Level,Bengaluru
Other,6to10,1,1,Entry Level,Bengaluru
Other,10to15,0,0,Senior Level,Delhi
Other,15to25,0,0,Mid Level,Other
Other,10to15,0,0,Mid Level,Hyderabad
Other,3to6,0,0,Entry Level,Chennai
Other,10to15,1,0,Entry Level,Other
Other,10to15,1,0,Mid Level,Mumbai
Other,10to15,0,0,Mid Level,Gurgaon
Other,3to6,0,1,Entry Level,Multiple Locations
Other,10to15,0,1,Entry Level,Bengaluru
Other,15to25,0,0,Senior Level,Bengaluru
Other,15to25,0,0,Senior Level,Chennai
Other,10to15,0,0,Senior Level,Gurgaon
Other,6to10,0,0,Entry Level,Mumbai
Analytics,10to15,0,0,Entry Level,Mumbai
Other,6to10,0,0,Mid Level,Mumbai
Other,0to3,0,0,Entry Level,Gurgaon
Other,15to25,0,0,Entry Level,Mumbai
Analytics,15to25,0,0,Mid Level,Mumbai
Analytics,10to15,1,1,Entry Level,Multiple Locations
Analytics,10to15,0,0,Entry Level,Mumbai
Other,0to3,0,0,Entry Level,Other
Analytics,10to15,0,0,Senior Level,Multiple Locations
Other,15to25,0,0,Entry Level,Other
Other,15to25,0,0,Senior Level,Bengaluru
Analytics,10to15,0,1,Entry Level,Mumbai
Other,25to50,0,1,Mid Level,Chennai
Other,25to50,0,0,Senior Level,Bengaluru
Analytics,15to25,1,0,Entry Level,Multiple Locations
Analytics,15to25,1,0,Mid Level,Multiple Locations
Other,25to50,0,0,Senior Level,Hyderabad
Other,3to6,1,0,Mid Level,Gurgaon
Other,25to50,0,1,Entry Level,Bengaluru
Other,6to10,0,0,Entry Level,Other
Other,10to15,0,0,Senior Level,Multiple Locations
Other,0to3,0,0,Entry Level,Chennai
Other,15to25,0,1,Senior Level,Bengaluru
Other,6to10,0,0,Mid Level,Bengaluru
Analytics,3to6,0,0,Entry Level,Pune
Other,3to6,0,0,Entry Level,Chennai
Analytics,25to50,0,0,Mid Level,Multiple Locations
